,Timestamp,swe,SnowDepth_m,density,day,labels
123,2022-02-01,342.857,1.2342857142857144,277.77766203703703,01,Feb 01
124,2022-02-02,352.355,1.2970555555555556,271.6576005482503,02,Feb 02
125,2022-02-03,352.355,1.2690833333333331,277.6452820277103,03,Feb 03
126,2022-02-04,352.355,1.2449565217391303,283.02594817350007,04,Feb 04
127,2022-02-05,352.355,1.2272083333333332,287.11913896716806,05,Feb 05
128,2022-02-06,352.355,1.2069166666666666,291.94641994062005,06,Feb 06
129,2022-02-07,352.355,1.1953636363636362,294.7680431972014,07,Feb 07
130,2022-02-08,352.355,1.184909090909091,297.36880466472303,08,Feb 08
131,2022-02-09,352.355,1.1752916666666666,299.8021767646329,09,Feb 09
132,2022-02-10,352.355,1.1657916666666666,302.2452553700991,10,Feb 10
133,2022-02-11,352.355,1.1641666666666666,302.66714387974235,11,Feb 11
134,2022-02-12,352.355,1.1587916666666669,304.07105102297646,12,Feb 12
135,2022-02-13,352.355,1.14495,307.7470631905324,13,Feb 13
136,2022-02-14,352.355,1.1413684210526316,308.7127639952043,14,Feb 14
137,2022-02-15,361.276,1.2085,298.9458005792305,15,Feb 15
138,2022-02-16,382.12,1.386,275.69985569985573,16,Feb 16
139,2022-02-17,391.12,1.4183333333333332,275.7602820211516,17,Feb 17
140,2022-02-18,391.12,1.3853333333333333,282.3291626564004,18,Feb 18
141,2022-02-19,391.12,1.3474285714285714,290.27141645462257,19,Feb 19
142,2022-02-20,401.628,1.4094166666666668,284.96044462839234,20,Feb 20
143,2022-02-21,423.884,1.5795,268.3659385881608,21,Feb 21
144,2022-02-22,423.884,1.5259166666666666,277.7897438698051,22,Feb 22
145,2022-02-23,423.884,1.4885416666666669,284.76461861441567,23,Feb 23
146,2022-02-24,423.884,1.4705416666666666,288.2502479245176,24,Feb 24
147,2022-02-25,423.884,1.4534166666666666,291.64657989794165,25,Feb 25
148,2022-02-26,423.884,1.4182916666666667,298.8694144951379,26,Feb 26
149,2022-02-27,423.884,1.3940526315789472,304.0659946388795,27,Feb 27
150,2022-02-28,423.884,1.3866666666666667,305.68557692307695,28,Feb 28
151,2022-03-01,423.884,1.3752307692307693,308.2275422306746,01,Mar 01
152,2022-03-02,423.884,1.3650769230769233,310.52022991096584,02,Mar 02
153,2022-03-03,423.884,1.3534000000000002,313.1993497857248,03,Mar 03
154,2022-03-04,423.884,1.3375416666666666,316.9127441512726,04,Mar 04
155,2022-03-05,431.828,1.3929166666666666,310.01711037989827,05,Mar 05
156,2022-03-06,436.381,1.4182083333333333,307.6987983664835,06,Mar 06
157,2022-03-07,436.381,1.4113749999999998,309.1885572579931,07,Mar 07
158,2022-03-08,448.957,1.5116666666666667,296.9947078280044,08,Mar 08
159,2022-03-09,448.957,1.50575,298.1617134318446,09,Mar 09
160,2022-03-10,448.957,1.4832083333333337,302.6931482990139,10,Mar 10
161,2022-03-11,448.957,1.4717391304347829,305.05202363367795,11,Mar 11
162,2022-03-12,448.957,1.467,306.0374914792092,12,Mar 12
163,2022-03-13,452.877,1.48275,305.43045017703594,13,Mar 13
164,2022-03-14,455.55,1.49,305.73825503355704,14,Mar 14
165,2022-03-15,466.714,1.5762380952380952,296.09359233860005,15,Mar 15
166,2022-03-16,466.714,1.5726250000000002,296.77386535251566,16,Mar 16
167,2022-03-17,466.714,1.5594444444444444,299.2822230138938,17,Mar 17
168,2022-03-18,466.714,1.5475,301.59224555735057,18,Mar 18
169,2022-03-19,466.714,1.5310714285714284,304.8283648238862,19,Mar 19
170,2022-03-20,476.799,1.6024583333333335,297.5422137861098,20,Mar 20
171,2022-03-21,481.055,1.6159047619047615,297.70009430070144,21,Mar 21
172,2022-03-22,481.055,1.5899444444444444,302.5608861246026,22,Mar 22
173,2022-03-23,481.055,1.5586666666666666,308.63237810094097,23,Mar 23
174,2022-03-24,481.055,1.5194666666666667,316.5946384696385,24,Mar 24
175,2022-03-25,481.055,1.4922727272727272,322.3639963448066,25,Mar 25
176,2022-03-26,481.055,1.4727692307692308,326.6329781677635,26,Mar 26
177,2022-03-27,481.055,1.4425555555555556,333.4741585149811,27,Mar 27
178,2022-03-28,481.055,1.4201319444444445,338.7396515386383,28,Mar 28
179,2022-03-29,481.055,1.397708333333333,344.17409449992556,29,Mar 29
180,2022-03-30,481.055,1.388,346.5814121037464,30,Mar 30
181,2022-03-31,481.055,1.382,348.08610709117227,31,Mar 31
182,2022-04-01,481.055,1.38255,347.9476329969983,01,Apr 01
183,2022-04-02,483.95,1.402,345.18544935805994,02,Apr 02
184,2022-04-03,487.494,1.4289411764705882,341.1575004116582,03,Apr 03
185,2022-04-04,487.494,1.4190416666666668,343.5374812813812,04,Apr 04
186,2022-04-05,487.494,1.4126666666666663,345.08777725342156,05,Apr 05
187,2022-04-06,487.494,1.4258181818181817,341.9047436878348,06,Apr 06
188,2022-04-07,487.494,1.4054705882352942,346.85464361947015,07,Apr 07
189,2022-04-08,487.494,1.395625,349.3015673981192,08,Apr 08
190,2022-04-09,487.494,1.3656363636363638,356.97204100652374,09,Apr 09
191,2022-04-10,487.494,1.3654583333333334,357.01858350370753,10,Apr 10
192,2022-04-11,493.038,1.4136666666666666,348.7653855222825,11,Apr 11
193,2022-04-12,518.453,1.655875,313.099116781158,12,Apr 12
194,2022-04-13,527.686,1.6872916666666666,312.7414248672676,13,Apr 13
195,2022-04-14,527.686,1.6445652173913046,320.86656972901517,14,Apr 14
196,2022-04-15,531.627,1.643086956521739,323.5537826466619,15,Apr 15
197,2022-04-16,531.627,1.6002272727272726,332.2196847038773,16,Apr 16
198,2022-04-17,544.373,1.697608695652174,320.6704827762838,17,Apr 17
199,2022-04-18,544.373,1.662,327.5409145607702,18,Apr 18
200,2022-04-19,544.373,1.641375,331.65669027492197,19,Apr 19
201,2022-04-20,544.373,1.638095238095238,332.32072674418606,20,Apr 20
202,2022-04-21,544.373,1.6216666666666666,335.687358684481,21,Apr 21
203,2022-04-22,557.121,1.726125,322.75820117314794,22,Apr 22
204,2022-04-23,581.199,1.924,302.0784823284823,23,Apr 23
205,2022-04-24,581.199,1.8653809523809524,311.57120976182574,24,Apr 24
206,2022-04-25,581.199,1.8117692307692308,320.7908546681951,25,Apr 25
207,2022-04-26,581.199,1.741125,333.8065905664441,26,Apr 26
208,2022-04-27,581.199,1.7045882352941175,340.9615225343364,27,Apr 27
209,2022-04-28,581.199,1.6845,345.0276046304541,28,Apr 28
210,2022-04-29,588.919,1.74375,337.73132616487453,29,Apr 29
211,2022-04-30,588.919,1.7397333333333334,338.5110744941753,30,Apr 30
212,2022-05-01,588.919,1.721458333333333,342.1047077332688,01,May 01
213,2022-05-02,588.919,1.6988571428571428,346.655987218298,02,May 02
214,2022-05-03,588.919,1.7024583333333334,345.9227098068969,03,May 03
215,2022-05-04,588.919,1.6934285714285713,347.76725156065464,04,May 04
216,2022-05-05,588.919,1.6257777777777778,362.2383132859486,05,May 05
217,2022-05-06,588.919,1.555,378.7260450160772,06,May 06
218,2022-05-07,588.919,1.5662608695652174,376.00313679769044,07,May 07
219,2022-05-08,595.191,1.625304347826087,366.20279813814136,08,May 08
220,2022-05-09,616.152,1.826619047619048,337.3182825412549,09,May 09
221,2022-05-10,616.152,1.7084444444444444,360.6508844953174,10,May 10
222,2022-05-11,616.152,1.641875,375.27339170156074,11,May 11
223,2022-05-12,616.152,1.6560416666666666,372.063102277016,12,May 12
224,2022-05-13,616.152,1.6696521739130434,369.0301546794438,13,May 13
225,2022-05-14,616.152,1.6510952380952382,373.17774637325874,14,May 14
226,2022-05-15,616.152,1.6357499999999998,376.6785878037598,15,May 15
227,2022-05-16,616.152,1.52975,402.77953914038244,16,May 16
228,2022-05-17,616.152,1.4680909090909091,419.6960802526472,17,May 17
229,2022-05-18,612.726,1.4102857142857144,434.4694084278768,18,May 18
230,2022-05-19,605.348,1.393304347826087,434.4693253448168,19,May 19
231,2022-05-20,611.215,1.4595,418.7838300787941,20,May 20
232,2022-05-21,611.215,1.4435833333333334,423.40125844253305,21,May 21
233,2022-05-22,611.215,1.432409090909091,426.7042173071431,22,May 22
234,2022-05-23,611.215,1.4097692307692309,433.5567741583456,23,May 23
235,2022-05-24,595.15,1.3698333333333332,434.4689134931257,24,May 24
236,2022-05-25,578.476,1.3314545454545454,434.4692066093131,25,May 25
237,2022-05-26,563.506,1.297,434.46877409406324,26,May 26
238,2022-05-27,517.018,1.19,434.46890756302525,27,May 27
239,2022-05-28,501.204,1.1536,434.4694868238558,28,May 28
240,2022-05-29,489.393,1.1264166666666666,434.4688910261153,29,May 29
241,2022-05-30,482.315,1.110125,434.46909131854517,30,May 30
242,2022-05-31,476.803,1.0974375,434.4693889173643,31,May 31
243,2022-06-01,455.287,1.0479166666666666,434.4687077534791,01,Jun 01
244,2022-06-02,431.151,0.9923636363636362,434.46876145108104,02,Jun 02
245,2022-06-03,403.266,0.928181818181818,434.46875612144964,03,Jun 03
